stop_id,stop_id_stepp,stop_code,stop_name,stop_desc,stop_remarks,stop_lat,stop_lon,zone_shift,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality
099938,0,099938,Rua Eduardo Duarte Nunes,,,38.650415,-8.974528,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1506
100001,0,100001,Rua Dom João de Castro 4,,,38.700532,-8.954064,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100002,0,100002,BELA VISTA (R AFONSO ALBUQUERQUE 9),,,38.700529,-8.953926,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100003,0,100003,BELA VISTA (R FERNÃO MAGALHÃES 61),,,38.699539,-8.955257,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100004,0,100004,BELA VISTA (R FERNÃO MAGALHÃES 61),,,38.699572,-8.955101,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100005,0,100005,BELA VISTA (EN 5) SEMÁFOROS,,,38.699393,-8.957025,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100006,0,100006,BELA VISTA (EN 5) SEMÁFOROS,,,38.70012,-8.957407,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100007,0,100007,MONTIJO (R JOSÉ JOAQ MARQUES) SUPERMERCADO,,,38.702666,-8.961441,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100008,0,100008,Rua José Joaquim Marques (X) Rua Alexandre Bell,,,38.702834,-8.961382,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100009,0,100009,Rua José Joaquim Marques (Policlínica),,,38.703464,-8.966314,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100011,0,100011,Rua José Joaquim Marques 91,,,38.704055,-8.970651,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100012,0,100012,Estrada Nacional 10 Frente (X) Alameda dos Moinhos,,,38.717058,-8.973114,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100013,0,100013,Praça Gomes Freire de Andrade (Terminal) P1,,,38.705735,-8.97624,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100014,0,100014,Estrada Nacional 119 (X) Alameda dos Moinhos,,,38.717111,-8.973,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100015,0,100015,MONTIJO (PÇA REPÚBLICA 64),,,38.706328,-8.974613,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100016,0,100016,MONTIJO (PÇA REPÚBLICA 64),,,38.706314,-8.974103,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100017,0,100017,MONTIJO (PÇA 1º MAIO),,,38.707362,-8.972731,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
100019,0,100019,MONTIJO (R GAGO COUTINHO 92),,,38.710318,-8.972546,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,,,PT170,1507
