stop_id,stop_id_stepp,stop_code,stop_name,stop_desc,stop_remarks,stop_lat,stop_lon,zone_id,zone_shift,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2
070759,70759,"070759","R D Af Henriques (X) B Figueira","","",38.814371,-9.100276,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070761,70761,"070761","R D Af Henriques) (X) B Fraternidade","","",38.8159,-9.100211,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070763,70763,"070763","R D Afonso Henriques 68","","",38.818829,-9.099074,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070765,70765,"070765","R Sociedade 305 (B Castelhana)","","",38.827013,-9.093059,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070767,70767,"070767","R Brasil 59 (B Castelhana)","","",38.828496,-9.093061,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070769,70769,"070769","R Circunvalação 58","","",38.834399,-9.093744,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070771,70771,"070771","R Angola 22","","",38.846214,-9.086446,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070773,70773,"070773","R D Nuno Alvares Pereira 4","","",38.824635,-9.100227,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070775,70775,"070775","R Alvaro Manuel Roxo (Jardim)","","",38.825,-9.10227,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070777,70777,"070777","R Escola 19 (Vale Figueira)","","",38.823772,-9.103004,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070779,70779,"070779","R Escola 19 (B Fraternidade)","","",38.82105,-9.102176,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070780,70780,"070780","R Escola 10 (B Fraternidade)","","",38.821168,-9.102279,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070781,70781,"070781","R Principal 5 (B Fraternidade)","","",38.819903,-9.104097,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
