line_id,line_short_name,line_long_name,route_id,agency_id,route_origin,route_destination,route_short_name,route_long_name,route_desc,route_remarks,route_type,contract,path_type,circular,school,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
2522,2522,Jardim da Amoreira - Sr. Roubado (Metro) via Montemor,2522_0,42,,Sr. Roubado (Metro),2522,Jardim da Amoreira - Sr. Roubado (Metro) via Montemor,,,3,"",1,0,,,C61D23,FFFFFF,,,
2523,2523,Jardim da Amoreira - Odivelas (Metro) via Montemor,2523_0,42,,Odivelas (Metro),2523,Jardim da Amoreira - Odivelas (Metro) via Montemor,,,3,"",1,0,,,C61D23,FFFFFF,,,
2524,2524,Odivelas (Metro) | Circular via Loures (Hospital),2524_0,42,,Odivelas (Metro),2524,Odivelas (Metro) | Circular via Loures (Hospital),,,3,"",1,1,,,C61D23,FFFFFF,,,
2525,2525,Santo Antão do Tojal - Senhor Roubado (Metro),2525_0,42,,Senhor Roubado (Metro),2525,Santo Antão do Tojal - Senhor Roubado (Metro),,,3,"",1,0,,,C61D23,FFFFFF,,,
2526,2526,Loures (Centro Comercial) - Odivelas (Metro) via Cidade Nova,2526_0,42,,Odivelas (Metro),2526,Loures (Centro Comercial) - Odivelas (Metro) via Cidade Nova,,,3,"",1,0,,,C61D23,FFFFFF,,,
2530,2530,Alverca (Estação) - Bucelas via Malvarosa,2530_0,42,Alverca (Estação),Bucelas,2530,Alverca (Estação) - Bucelas via Malvarosa,,,3,"",1,0,,,C61D23,FFFFFF,,,
2532,2532,Alverca (Estação) - Loures,2532_0,42,Alverca(Est),Loures,2532,Alverca (Estação) - Loures,,,3,"",1,0,,,C61D23,FFFFFF,,,
2533,2533,Alverca (Estação) - Santo Antão do Tojal,2533_0,42,Alverca(Est),Sto Antão Tojal,2533,Alverca(Est) - Sto Antao Tojal via C. Areias,,,3,"",1,0,,,C61D23,FFFFFF,,,
2534,2534,Loures (Supermercado) - Santa Iria da Azóia,2534_0,42,,Santa Iria Azoia,2534,Loures(Super.) - Santa Iria Azoia,,,3,"",1,0,,,C61D23,FFFFFF,,,
2535,2535,Loures - Vila Franca de Xira,2535_0,42,,Vila Franca de Xira,2535,Loures - Vila Franca de Xira,,,3,"",1,0,,,C61D23,FFFFFF,,,
2536,2536,Mojões - Bairro Monjões via Póvoa de Santa Iria,2536_0,42,Mojões,Bairro Monjoes,2536,Mojões - Bairro Monjoes via Póvoa,,,3,"",1,1,,,C61D23,FFFFFF,,,
2537,2537,Póvoa de Santa Iria - Santo Antão do Tojal,2537_0,42,P.S.I.(Est),Santo Antão Tojal,2537,P.S.I.(Est) - Santo Antão Tojal,,,3,"",1,0,,,C61D23,FFFFFF,,,
2538,2538,Póvoa de Santa Iria (Estação) - Santo Antão do Tojal via Alpriate,2538_0,42,P.S.I.(Est),Santo Antão Tojal,2538,P.S.I.(Est) - Santo Antao Tojal via Alpriate,,,3,"",1,0,,,C61D23,FFFFFF,,,
2538,2538,Póvoa de Santa Iria (Estação) - Santo Antão do Tojal via Alpriate,2538_1,42,P.S.I. (Est),Santo Antão Tojal,2538,P.S.I. (Est) - Santo Antao Tojal,,,3,"",3,0,,,C61D23,FFFFFF,,,
2539,2539,Santa Iria da Azóia (Estação) | Circular via São João da Talha,2539_0,42,,S.Iria(Apeadeiro),2539,S.Iria(Apeadeiro) - S.Iria(Apeadeiro),,,3,"",1,1,,,C61D23,FFFFFF,,,
2540,2540,Santa Iria da Azóia (Apeadeiro) - MARL,2540_0,42,,MARL,2540,S. Iria (Apeadeiro) - MARL,,,3,"",1,0,,,C61D23,FFFFFF,,,
2601,2601,Loures (Centro Comercial) - Reboleira (Estação),2601_0,42,,Reboleira (Metro),2601,Loures (C. Comercial) - Reboleira (Estação),,,3,"",1,0,,,C61D23,FFFFFF,,,
2605,2605,Agualva-Cacém (Estação) - Loures,2605_0,42,,Loures,2605,Agualva-Cacém (Estação) - Loures,,,3,"",1,0,,,C61D23,FFFFFF,,,
