layover_id,agency_id,service_id,start_time,end_time,location_id,block_id,start_shift_id,end_shift_id
ED114_611_620,43,ESC_DOM,10:11:00,10:20:00,150492,ESC_DOM_ED114,ED114,ED114
ED114_640_685,43,ESC_DOM,10:40:00,11:25:00,142335,ESC_DOM_ED114,ED114,ED114
ED114_705_740,43,ESC_DOM,11:45:00,12:20:00,150491,ESC_DOM_ED114,ED114,ED114
ED114_760_775,43,ESC_DOM,12:40:00,12:55:00,142335,ESC_DOM_ED114,ED114,ED114
ED114_795_830,43,ESC_DOM,13:15:00,13:50:00,150491,ESC_DOM_ED114,ED114,ED114
ED114_850_895,43,ESC_DOM,14:10:00,14:55:00,142335,ESC_DOM_ED114,ED114,ED114
ED114_915_920,43,ESC_DOM,15:15:00,15:20:00,150491,ESC_DOM_ED114,ED114,ED114
ED114_940_985,43,ESC_DOM,15:40:00,16:25:00,142335,ESC_DOM_ED114,ED114,ED114
ED115_1010_1025,43,ESC_DOM,16:50:00,17:05:00,020180,ESC_DOM_ED115,ED115,ED115
ED115_1070_1080,43,ESC_DOM,17:50:00,18:00:00,020403,ESC_DOM_ED115,ED115,ED115
ED115_1120_1125,43,ESC_DOM,18:40:00,18:45:00,020967,ESC_DOM_ED115,ED115,ED115
ED115_1215_1220,43,ESC_DOM,20:15:00,20:20:00,140731,ESC_DOM_ED115,ED115,ED115
ED115_1450_1480,43,ESC_DOM,24:10:00,24:40:00,020973,ESC_DOM_ED115,ED115,ED115
ED115_590_620,43,ESC_DOM,09:50:00,10:20:00,020489,ESC_DOM_ED115,ED115,ED115
ED115_670_675,43,ESC_DOM,11:10:00,11:15:00,020835,ESC_DOM_ED115,ED115,ED115
ED115_770_785,43,ESC_DOM,12:50:00,13:05:00,020180,ESC_DOM_ED115,ED115,ED115
ED115_830_835,43,ESC_DOM,13:50:00,13:55:00,020403,ESC_DOM_ED115,ED115,ED115
ED115_877_880,43,ESC_DOM,14:37:00,14:40:00,020073,ESC_DOM_ED115,ED115,ED115
ED115_920_925,43,ESC_DOM,15:20:00,15:25:00,020180,ESC_DOM_ED115,ED115,ED115
ED115_965_970,43,ESC_DOM,16:05:00,16:10:00,020073,ESC_DOM_ED115,ED115,ED115
ED116_1082_1095,43,ESC_DOM,18:02:00,18:15:00,140391,ESC_DOM_ED116,ED116,ED116
ED116_1125_1130,43,ESC_DOM,18:45:00,18:50:00,140555,ESC_DOM_ED116,ED116,ED116
ED116_1160_1185,43,ESC_DOM,19:20:00,19:45:00,140391,ESC_DOM_ED116,ED116,ED116
ED116_1215_1220,43,ESC_DOM,20:15:00,20:20:00,140555,ESC_DOM_ED116,ED116,ED116
ED116_1291_1295,43,ESC_DOM,21:31:00,21:35:00,140857,ESC_DOM_ED116,ED116,ED116
ED116_1315_1320,43,ESC_DOM,21:55:00,22:00:00,150491,ESC_DOM_ED116,ED116,ED116
ED116_1368_1395,43,ESC_DOM,22:48:00,23:15:00,140857,ESC_DOM_ED116,ED116,ED116
ED116_575_625,43,ESC_DOM,09:35:00,10:25:00,142335,ESC_DOM_ED116,ED116,ED116
ED116_645_680,43,ESC_DOM,10:45:00,11:20:00,150491,ESC_DOM_ED116,ED116,ED116
ED116_710_750,43,ESC_DOM,11:50:00,12:30:00,140463,ESC_DOM_ED116,ED116,ED116
ED116_820_865,43,ESC_DOM,13:40:00,14:25:00,140857,ESC_DOM_ED116,ED116,ED116
ED116_987_1020,43,ESC_DOM,16:27:00,17:00:00,140463,ESC_DOM_ED116,ED116,ED116
ED117_1060_1080,43,ESC_DOM,17:40:00,18:00:00,060459,ESC_DOM_ED117,ED117,ED117
ED117_595_645,43,ESC_DOM,09:55:00,10:45:00,150051,ESC_DOM_ED117,ED117,ED117
ED117_690_730,43,ESC_DOM,11:30:00,12:10:00,141569,ESC_DOM_ED117,ED117,ED117
ED117_775_810,43,ESC_DOM,12:55:00,13:30:00,150051,ESC_DOM_ED117,ED117,ED117
ED117_960_990,43,ESC_DOM,16:00:00,16:30:00,150051,ESC_DOM_ED117,ED117,ED117
ED118_1065_1080,43,ESC_DOM,17:45:00,18:00:00,140615,ESC_DOM_ED118,ED118,ED118
ED118_586_630,43,ESC_DOM,09:46:00,10:30:00,150484,ESC_DOM_ED118,ED118,ED118
ED118_655_660,43,ESC_DOM,10:55:00,11:00:00,150484,ESC_DOM_ED118,ED118,ED118
ED118_704_720,43,ESC_DOM,11:44:00,12:00:00,149994,ESC_DOM_ED118,ED118,ED118
ED118_771_805,43,ESC_DOM,12:51:00,13:25:00,140637,ESC_DOM_ED118,ED118,ED118
ED118_881_900,43,ESC_DOM,14:41:00,15:00:00,140615,ESC_DOM_ED118,ED118,ED118
ED118_930_945,43,ESC_DOM,15:30:00,15:45:00,140946,ESC_DOM_ED118,ED118,ED118
ED118_975_1005,43,ESC_DOM,16:15:00,16:45:00,140615,ESC_DOM_ED118,ED118,ED118
ED119_1040_1055,43,ESC_DOM,17:20:00,17:35:00,020113,ESC_DOM_ED119,ED119,ED119
ED119_1100_1115,43,ESC_DOM,18:20:00,18:35:00,020180,ESC_DOM_ED119,ED119,ED119
ED119_1160_1170,43,ESC_DOM,19:20:00,19:30:00,020403,ESC_DOM_ED119,ED119,ED119
ED119_1195_1200,43,ESC_DOM,19:55:00,20:00:00,029589,ESC_DOM_ED119,ED119,ED119
ED119_621_665,43,ESC_DOM,10:21:00,11:05:00,020179,ESC_DOM_ED119,ED119,ED119
ED119_710_740,43,ESC_DOM,11:50:00,12:20:00,020403,ESC_DOM_ED119,ED119,ED119
ED119_790_795,43,ESC_DOM,13:10:00,13:15:00,020835,ESC_DOM_ED119,ED119,ED119
ED119_890_905,43,ESC_DOM,14:50:00,15:05:00,020180,ESC_DOM_ED119,ED119,ED119
